id,question,answer,topic,difficulty
712,Write a SQL query to retrieve all records from the departments table.,SELECT * FROM departments,SELECT,Easy
713,Write a SQL query to find the maximum value of dept_id in the departments table.,SELECT MAX(dept_id) FROM departments,AGGREGATE FUNCTIONS,Easy
714,Write a SQL query to retrieve all records from the departments table.,SELECT * FROM departments,SELECT,Easy
715,Write a SQL query to perform a RIGHT JOIN between students and courses on the course_id column.,SELECT * FROM students RIGHT JOIN courses ON students.course_id=courses.course_id,JOIN,Hard
716,Write a SQL query to perform a INNER JOIN between sales and products on the product_id column.,SELECT * FROM sales INNER JOIN products ON sales.product_id=products.product_id,JOIN,Medium
717,Write a SQL query to select all records from books where publish_year < 13.,SELECT * FROM books WHERE publish_year<13,WHERE,Medium
718,Write a SQL query to retrieve all records from customers sorted by customer_id in descending order.,SELECT * FROM customers ORDER BY customer_id DESC,ORDER BY,Medium
719,Write a SQL query to find the min for each age in the students table.,"SELECT age,MIN(grade) FROM students GROUP BY age",GROUP BY,Medium
720,Write a SQL query to retrieve all records from customers sorted by last_name in descending order.,SELECT * FROM customers ORDER BY last_name DESC,ORDER BY,Medium
721,Write a SQL query to find the count for each publish_year in the books table.,"SELECT publish_year,COUNT(*) FROM books GROUP BY publish_year",GROUP BY,Easy
722,Write a SQL query to find the sum for each department in the employees table.,"SELECT department,SUM(salary) FROM employees GROUP BY department",GROUP BY,Medium
723,Write a SQL query to perform a LEFT JOIN between students and courses on the course_id column.,SELECT * FROM students LEFT JOIN courses ON students.course_id=courses.course_id,JOIN,Hard
724,Write a SQL query to calculate the average of dept_id in the departments table.,SELECT AVG(dept_id) FROM departments,AGGREGATE FUNCTIONS,Medium
725,Write a SQL query to select all records from customers where first_name > 78.,SELECT * FROM customers WHERE first_name>78,WHERE,Medium
726,Write a SQL query to retrieve all records from flights sorted by destination in descending order.,SELECT * FROM flights ORDER BY destination DESC,ORDER BY,Medium
727,Write a SQL query to select distinct values of origin and destination from flights.,"SELECT DISTINCT origin,destination FROM flights",SELECT,Hard
728,Write a SQL query to select all records from sales where quantity > 75.,SELECT * FROM sales WHERE quantity>75,WHERE,Medium
729,Write a SQL query to count the number of records in the books table.,SELECT COUNT(*) FROM books,AGGREGATE FUNCTIONS,Easy
730,Write a SQL query to perform a INNER JOIN between students and courses on the course_id column.,SELECT * FROM students INNER JOIN courses ON students.course_id=courses.course_id,JOIN,Medium
731,Write a SQL query to select the order_date and customer_id columns from the orders table.,"SELECT order_date,customer_id FROM orders",SELECT,Medium
732,Write a SQL query to retrieve all records from the departments table.,SELECT * FROM departments,SELECT,Easy
733,Write a SQL query to find the max for each location in the departments table.,"SELECT location,MAX(dept_name) FROM departments GROUP BY location",GROUP BY,Medium
734,Write a SQL query to perform a INNER JOIN between sales and products on the product_id column.,SELECT * FROM sales INNER JOIN products ON sales.product_id=products.product_id,JOIN,Medium
735,Write a SQL query to retrieve all records from flights sorted by destination in ascending order.,SELECT * FROM flights ORDER BY destination ASC,ORDER BY,Easy
736,Write a SQL query to calculate the total sum of department in the courses table.,SELECT SUM(department) FROM courses,AGGREGATE FUNCTIONS,Medium
737,Write a SQL query to find the min for each budget in the departments table.,"SELECT budget,MIN(dept_name) FROM departments GROUP BY budget",GROUP BY,Medium
738,Write a SQL query to count the number of records in the courses table.,SELECT COUNT(*) FROM courses,AGGREGATE FUNCTIONS,Easy
739,Write a SQL query to find the minimum value of salary in the employees table.,SELECT MIN(salary) FROM employees,AGGREGATE FUNCTIONS,Easy
740,Write a SQL query to retrieve all records from customers sorted by email in ascending order.,SELECT * FROM customers ORDER BY email ASC,ORDER BY,Easy
741,Write a SQL query to find the avg for each revenue in the sales table.,"SELECT revenue,AVG(sale_id) FROM sales GROUP BY revenue",GROUP BY,Medium
742,Write a SQL query to perform a LEFT JOIN between orders and customers on the customer_id column.,SELECT * FROM orders LEFT JOIN customers ON orders.customer_id=customers.customer_id,JOIN,Hard
743,Write a SQL query to perform a INNER JOIN between employees and departments on the dept_id column.,SELECT * FROM employees INNER JOIN departments ON employees.dept_id=departments.dept_id,JOIN,Medium
744,Write a SQL query to retrieve all records from courses sorted by department in descending order.,SELECT * FROM courses ORDER BY department DESC,ORDER BY,Medium
745,Write a SQL query to select all records from products where product_name <= 85.,SELECT * FROM products WHERE product_name<=85,WHERE,Hard
746,Write a SQL query to find the min for each airline in the flights table.,"SELECT airline,MIN(price) FROM flights GROUP BY airline",GROUP BY,Medium
747,Write a SQL query to perform a RIGHT JOIN between orders and customers on the customer_id column.,SELECT * FROM orders RIGHT JOIN customers ON orders.customer_id=customers.customer_id,JOIN,Hard
748,Write a SQL query to select distinct values of price and product_name from products.,"SELECT DISTINCT price,product_name FROM products",SELECT,Hard
749,Write a SQL query to calculate the average of last_name in the customers table.,SELECT AVG(last_name) FROM customers,AGGREGATE FUNCTIONS,Medium
750,Write a SQL query to find the min for each hire_date in the employees table.,"SELECT hire_date,MIN(emp_name) FROM employees GROUP BY hire_date",GROUP BY,Medium
751,Write a SQL query to retrieve all records from flights sorted by flight_id in ascending order.,SELECT * FROM flights ORDER BY flight_id ASC,ORDER BY,Easy
752,Write a SQL query to retrieve all records from customers sorted by customer_id in ascending order.,SELECT * FROM customers ORDER BY customer_id ASC,ORDER BY,Easy
753,Write a SQL query to find the count for each total_amount in the orders table.,"SELECT total_amount,COUNT(*) FROM orders GROUP BY total_amount",GROUP BY,Easy
754,Write a SQL query to select all records from orders where order_id != 25.,SELECT * FROM orders WHERE order_id!=25,WHERE,Hard
755,Write a SQL query to find the max for each course in the students table.,"SELECT course,MAX(name) FROM students GROUP BY course",GROUP BY,Medium
756,Write a SQL query to perform a LEFT JOIN between sales and products on the product_id column.,SELECT * FROM sales LEFT JOIN products ON sales.product_id=products.product_id,JOIN,Hard
757,Write a SQL query to calculate the average of course in the students table.,SELECT AVG(course) FROM students,AGGREGATE FUNCTIONS,Medium
758,Write a SQL query to find the avg for each credits in the courses table.,"SELECT credits,AVG(course_id) FROM courses GROUP BY credits",GROUP BY,Medium
759,Write a SQL query to retrieve all records from the courses table.,SELECT * FROM courses,SELECT,Easy
760,Write a SQL query to calculate the average of product_name in the products table.,SELECT AVG(product_name) FROM products,AGGREGATE FUNCTIONS,Medium
761,Write a SQL query to find the count for each origin in the flights table.,"SELECT origin,COUNT(*) FROM flights GROUP BY origin",GROUP BY,Easy
762,Write a SQL query to select the grade and age columns from the students table.,"SELECT grade,age FROM students",SELECT,Medium
763,Write a SQL query to select the grade and age columns from the students table.,"SELECT grade,age FROM students",SELECT,Medium
764,Write a SQL query to calculate the total sum of price in the products table.,SELECT SUM(price) FROM products,AGGREGATE FUNCTIONS,Medium
765,Write a SQL query to calculate the total sum of city in the customers table.,SELECT SUM(city) FROM customers,AGGREGATE FUNCTIONS,Medium
766,Write a SQL query to select all records from customers where city != 55.,SELECT * FROM customers WHERE city!=55,WHERE,Hard
767,Write a SQL query to find the count for each revenue in the sales table.,"SELECT revenue,COUNT(*) FROM sales GROUP BY revenue",GROUP BY,Easy
768,Write a SQL query to find the minimum value of dept_id in the departments table.,SELECT MIN(dept_id) FROM departments,AGGREGATE FUNCTIONS,Easy
769,Write a SQL query to select all records from books where genre < 33.,SELECT * FROM books WHERE genre<33,WHERE,Medium
770,Write a SQL query to retrieve all records from flights sorted by origin in descending order.,SELECT * FROM flights ORDER BY origin DESC,ORDER BY,Medium
771,Write a SQL query to retrieve all records from departments sorted by location in descending order.,SELECT * FROM departments ORDER BY location DESC,ORDER BY,Medium
772,Write a SQL query to select the emp_name and hire_date columns from the employees table.,"SELECT emp_name,hire_date FROM employees",SELECT,Medium
773,Write a SQL query to retrieve all records from products sorted by product_name in ascending order.,SELECT * FROM products ORDER BY product_name ASC,ORDER BY,Easy
774,Write a SQL query to find the minimum value of course in the students table.,SELECT MIN(course) FROM students,AGGREGATE FUNCTIONS,Easy
775,Write a SQL query to find the sum for each total_amount in the orders table.,"SELECT total_amount,SUM(order_id) FROM orders GROUP BY total_amount",GROUP BY,Medium
776,Write a SQL query to perform a LEFT JOIN between sales and products on the product_id column.,SELECT * FROM sales LEFT JOIN products ON sales.product_id=products.product_id,JOIN,Hard
777,Write a SQL query to select the sale_date and product_id columns from the sales table.,"SELECT sale_date,product_id FROM sales",SELECT,Medium
778,Write a SQL query to find the avg for each budget in the departments table.,"SELECT budget,AVG(location) FROM departments GROUP BY budget",GROUP BY,Medium
779,Write a SQL query to perform a LEFT JOIN between sales and products on the product_id column.,SELECT * FROM sales LEFT JOIN products ON sales.product_id=products.product_id,JOIN,Hard
780,Write a SQL query to perform a RIGHT JOIN between orders and customers on the customer_id column.,SELECT * FROM orders RIGHT JOIN customers ON orders.customer_id=customers.customer_id,JOIN,Hard
781,Write a SQL query to find the minimum value of order_date in the orders table.,SELECT MIN(order_date) FROM orders,AGGREGATE FUNCTIONS,Easy
782,Write a SQL query to select all records from customers where email = 71.,SELECT * FROM customers WHERE email=71,WHERE,Easy
783,Write a SQL query to find the sum for each product_id in the sales table.,"SELECT product_id,SUM(sale_id) FROM sales GROUP BY product_id",GROUP BY,Medium
784,Write a SQL query to find the sum for each first_name in the customers table.,"SELECT first_name,SUM(city) FROM customers GROUP BY first_name",GROUP BY,Medium
785,Write a SQL query to select all records from departments where dept_id < 77.,SELECT * FROM departments WHERE dept_id<77,WHERE,Medium
786,Write a SQL query to perform a LEFT JOIN between orders and customers on the customer_id column.,SELECT * FROM orders LEFT JOIN customers ON orders.customer_id=customers.customer_id,JOIN,Hard
787,Write a SQL query to select all records from orders where total_amount <= 19.,SELECT * FROM orders WHERE total_amount<=19,WHERE,Hard
788,Write a SQL query to select all records from courses where course_id >= 95.,SELECT * FROM courses WHERE course_id>=95,WHERE,Hard
789,Write a SQL query to select the product_name and price columns from the products table.,"SELECT product_name,price FROM products",SELECT,Medium
790,Write a SQL query to count the number of records in the sales table.,SELECT COUNT(*) FROM sales,AGGREGATE FUNCTIONS,Easy
791,Write a SQL query to find the min for each name in the students table.,"SELECT name,MIN(name) FROM students GROUP BY name",GROUP BY,Medium
792,Write a SQL query to select all records from courses where course_name != 90.,SELECT * FROM courses WHERE course_name!=90,WHERE,Hard
793,Write a SQL query to select all records from students where grade < 2.,SELECT * FROM students WHERE grade<2,WHERE,Medium
794,Write a SQL query to select all records from products where product_id < 99.,SELECT * FROM products WHERE product_id<99,WHERE,Medium
795,Write a SQL query to find the max for each name in the students table.,"SELECT name,MAX(student_id) FROM students GROUP BY name",GROUP BY,Medium
796,Write a SQL query to retrieve all records from students sorted by age in descending order.,SELECT * FROM students ORDER BY age DESC,ORDER BY,Medium
797,Write a SQL query to find the count for each name in the students table.,"SELECT name,COUNT(*) FROM students GROUP BY name",GROUP BY,Easy
798,Write a SQL query to find the maximum value of origin in the flights table.,SELECT MAX(origin) FROM flights,AGGREGATE FUNCTIONS,Easy
799,Write a SQL query to select all records from customers where customer_id > 51.,SELECT * FROM customers WHERE customer_id>51,WHERE,Medium
800,Write a SQL query to retrieve all records from courses sorted by credits in ascending order.,SELECT * FROM courses ORDER BY credits ASC,ORDER BY,Easy
801,Write a SQL query to retrieve all records from products sorted by price in descending order.,SELECT * FROM products ORDER BY price DESC,ORDER BY,Medium
802,Write a SQL query to find the avg for each price in the products table.,"SELECT price,AVG(product_name) FROM products GROUP BY price",GROUP BY,Medium
803,Write a SQL query to count the number of records in the employees table.,SELECT COUNT(*) FROM employees,AGGREGATE FUNCTIONS,Easy
804,Write a SQL query to select all records from products where product_id > 99.,SELECT * FROM products WHERE product_id>99,WHERE,Medium
805,Write a SQL query to retrieve all records from orders sorted by status in descending order.,SELECT * FROM orders ORDER BY status DESC,ORDER BY,Medium
806,Write a SQL query to retrieve all records from customers sorted by first_name in descending order.,SELECT * FROM customers ORDER BY first_name DESC,ORDER BY,Medium
807,Write a SQL query to retrieve all records from the students table.,SELECT * FROM students,SELECT,Easy
808,Write a SQL query to retrieve all records from customers sorted by customer_id in ascending order.,SELECT * FROM customers ORDER BY customer_id ASC,ORDER BY,Easy
809,Write a SQL query to retrieve all records from books sorted by author in ascending order.,SELECT * FROM books ORDER BY author ASC,ORDER BY,Easy
810,Write a SQL query to perform a RIGHT JOIN between sales and products on the product_id column.,SELECT * FROM sales RIGHT JOIN products ON sales.product_id=products.product_id,JOIN,Hard
811,Write a SQL query to find the max for each budget in the departments table.,"SELECT budget,MAX(dept_name) FROM departments GROUP BY budget",GROUP BY,Medium
812,Write a SQL query to perform a LEFT JOIN between students and courses on the course_id column.,SELECT * FROM students LEFT JOIN courses ON students.course_id=courses.course_id,JOIN,Hard
813,Write a SQL query to select all records from books where book_id > 1.,SELECT * FROM books WHERE book_id>1,WHERE,Medium
814,Write a SQL query to retrieve all records from customers sorted by last_name in ascending order.,SELECT * FROM customers ORDER BY last_name ASC,ORDER BY,Easy
815,Write a SQL query to select all records from students where grade <= 84.,SELECT * FROM students WHERE grade<=84,WHERE,Hard
816,Write a SQL query to find the count for each product_name in the products table.,"SELECT product_name,COUNT(*) FROM products GROUP BY product_name",GROUP BY,Easy
817,Write a SQL query to select all records from employees where department != 69.,SELECT * FROM employees WHERE department!=69,WHERE,Hard
818,Write a SQL query to perform a RIGHT JOIN between orders and customers on the customer_id column.,SELECT * FROM orders RIGHT JOIN customers ON orders.customer_id=customers.customer_id,JOIN,Hard
819,Write a SQL query to calculate the average of origin in the flights table.,SELECT AVG(origin) FROM flights,AGGREGATE FUNCTIONS,Medium
820,Write a SQL query to select the airline and origin columns from the flights table.,"SELECT airline,origin FROM flights",SELECT,Medium
821,Write a SQL query to select distinct values of location and budget from departments.,"SELECT DISTINCT location,budget FROM departments",SELECT,Hard
822,Write a SQL query to retrieve all records from the students table.,SELECT * FROM students,SELECT,Easy
823,Write a SQL query to perform a INNER JOIN between sales and products on the product_id column.,SELECT * FROM sales INNER JOIN products ON sales.product_id=products.product_id,JOIN,Medium
824,Write a SQL query to find the sum for each budget in the departments table.,"SELECT budget,SUM(dept_id) FROM departments GROUP BY budget",GROUP BY,Medium
825,Write a SQL query to select the sale_date and revenue columns from the sales table.,"SELECT sale_date,revenue FROM sales",SELECT,Medium
826,Write a SQL query to calculate the total sum of grade in the students table.,SELECT SUM(grade) FROM students,AGGREGATE FUNCTIONS,Medium
827,Write a SQL query to calculate the average of flight_id in the flights table.,SELECT AVG(flight_id) FROM flights,AGGREGATE FUNCTIONS,Medium
828,Write a SQL query to select all records from sales where sale_id <= 6.,SELECT * FROM sales WHERE sale_id<=6,WHERE,Hard
829,Write a SQL query to find the min for each destination in the flights table.,"SELECT destination,MIN(price) FROM flights GROUP BY destination",GROUP BY,Medium
830,Write a SQL query to select all records from books where author < 90.,SELECT * FROM books WHERE author<90,WHERE,Medium
831,Write a SQL query to find the count for each status in the orders table.,"SELECT status,COUNT(*) FROM orders GROUP BY status",GROUP BY,Easy
832,Write a SQL query to perform a LEFT JOIN between students and courses on the course_id column.,SELECT * FROM students LEFT JOIN courses ON students.course_id=courses.course_id,JOIN,Hard
833,Write a SQL query to select all records from departments where location = 96.,SELECT * FROM departments WHERE location=96,WHERE,Easy
834,Write a SQL query to retrieve all records from flights sorted by airline in ascending order.,SELECT * FROM flights ORDER BY airline ASC,ORDER BY,Easy
835,Write a SQL query to find the maximum value of city in the customers table.,SELECT MAX(city) FROM customers,AGGREGATE FUNCTIONS,Easy
836,Write a SQL query to calculate the total sum of quantity in the sales table.,SELECT SUM(quantity) FROM sales,AGGREGATE FUNCTIONS,Medium
837,Write a SQL query to retrieve all records from orders sorted by customer_id in descending order.,SELECT * FROM orders ORDER BY customer_id DESC,ORDER BY,Medium
838,Write a SQL query to select all records from departments where budget = 74.,SELECT * FROM departments WHERE budget=74,WHERE,Easy
839,Write a SQL query to perform a LEFT JOIN between employees and departments on the dept_id column.,SELECT * FROM employees LEFT JOIN departments ON employees.dept_id=departments.dept_id,JOIN,Hard
840,Write a SQL query to select distinct values of course_id and credits from courses.,"SELECT DISTINCT course_id,credits FROM courses",SELECT,Hard
841,Write a SQL query to perform a INNER JOIN between sales and products on the product_id column.,SELECT * FROM sales INNER JOIN products ON sales.product_id=products.product_id,JOIN,Medium
842,Write a SQL query to retrieve all records from students sorted by course in descending order.,SELECT * FROM students ORDER BY course DESC,ORDER BY,Medium
843,Write a SQL query to find the sum for each product_id in the sales table.,"SELECT product_id,SUM(quantity) FROM sales GROUP BY product_id",GROUP BY,Medium
844,Write a SQL query to calculate the total sum of order_date in the orders table.,SELECT SUM(order_date) FROM orders,AGGREGATE FUNCTIONS,Medium
845,Write a SQL query to retrieve all records from the students table.,SELECT * FROM students,SELECT,Easy
846,Write a SQL query to retrieve all records from the flights table.,SELECT * FROM flights,SELECT,Easy
847,Write a SQL query to perform a INNER JOIN between students and courses on the course_id column.,SELECT * FROM students INNER JOIN courses ON students.course_id=courses.course_id,JOIN,Medium
848,Write a SQL query to perform a RIGHT JOIN between students and courses on the course_id column.,SELECT * FROM students RIGHT JOIN courses ON students.course_id=courses.course_id,JOIN,Hard
849,Write a SQL query to retrieve all records from the products table.,SELECT * FROM products,SELECT,Easy
850,Write a SQL query to retrieve all records from the employees table.,SELECT * FROM employees,SELECT,Easy
851,Write a SQL query to retrieve all records from the books table.,SELECT * FROM books,SELECT,Easy
852,Write a SQL query to select all records from sales where sale_id = 42.,SELECT * FROM sales WHERE sale_id=42,WHERE,Easy
853,Write a SQL query to select the dept_id and dept_name columns from the departments table.,"SELECT dept_id,dept_name FROM departments",SELECT,Medium
854,Write a SQL query to perform a INNER JOIN between orders and customers on the customer_id column.,SELECT * FROM orders INNER JOIN customers ON orders.customer_id=customers.customer_id,JOIN,Medium
855,Write a SQL query to find the max for each stock in the products table.,"SELECT stock,MAX(price) FROM products GROUP BY stock",GROUP BY,Medium
856,Write a SQL query to find the max for each order_date in the orders table.,"SELECT order_date,MAX(order_id) FROM orders GROUP BY order_date",GROUP BY,Medium
857,Write a SQL query to perform a LEFT JOIN between sales and products on the product_id column.,SELECT * FROM sales LEFT JOIN products ON sales.product_id=products.product_id,JOIN,Hard
858,Write a SQL query to find the sum for each instructor in the courses table.,"SELECT instructor,SUM(instructor) FROM courses GROUP BY instructor",GROUP BY,Medium
859,Write a SQL query to select all records from products where product_name > 95.,SELECT * FROM products WHERE product_name>95,WHERE,Medium
860,Write a SQL query to retrieve all records from customers sorted by customer_id in descending order.,SELECT * FROM customers ORDER BY customer_id DESC,ORDER BY,Medium
861,Write a SQL query to find the minimum value of department in the courses table.,SELECT MIN(department) FROM courses,AGGREGATE FUNCTIONS,Easy
862,Write a SQL query to count the number of records in the orders table.,SELECT COUNT(*) FROM orders,AGGREGATE FUNCTIONS,Easy
863,Write a SQL query to find the maximum value of location in the departments table.,SELECT MAX(location) FROM departments,AGGREGATE FUNCTIONS,Easy
864,Write a SQL query to retrieve all records from the sales table.,SELECT * FROM sales,SELECT,Easy
865,Write a SQL query to perform a LEFT JOIN between students and courses on the course_id column.,SELECT * FROM students LEFT JOIN courses ON students.course_id=courses.course_id,JOIN,Hard
866,Write a SQL query to find the avg for each first_name in the customers table.,"SELECT first_name,AVG(email) FROM customers GROUP BY first_name",GROUP BY,Medium
867,Write a SQL query to perform a INNER JOIN between employees and departments on the dept_id column.,SELECT * FROM employees INNER JOIN departments ON employees.dept_id=departments.dept_id,JOIN,Medium
868,Write a SQL query to find the minimum value of course_id in the courses table.,SELECT MIN(course_id) FROM courses,AGGREGATE FUNCTIONS,Easy
869,Write a SQL query to find the maximum value of age in the students table.,SELECT MAX(age) FROM students,AGGREGATE FUNCTIONS,Easy
870,Write a SQL query to retrieve all records from employees sorted by hire_date in ascending order.,SELECT * FROM employees ORDER BY hire_date ASC,ORDER BY,Easy
871,Write a SQL query to find the min for each budget in the departments table.,"SELECT budget,MIN(location) FROM departments GROUP BY budget",GROUP BY,Medium
872,Write a SQL query to select all records from employees where salary < 87.,SELECT * FROM employees WHERE salary<87,WHERE,Medium
873,Write a SQL query to find the max for each city in the customers table.,"SELECT city,MAX(city) FROM customers GROUP BY city",GROUP BY,Medium
874,Write a SQL query to select all records from flights where airline != 82.,SELECT * FROM flights WHERE airline!=82,WHERE,Hard
875,Write a SQL query to select all records from employees where emp_name > 23.,SELECT * FROM employees WHERE emp_name>23,WHERE,Medium
876,Write a SQL query to select all records from students where student_id >= 52.,SELECT * FROM students WHERE student_id>=52,WHERE,Hard
877,Write a SQL query to retrieve all records from products sorted by product_name in ascending order.,SELECT * FROM products ORDER BY product_name ASC,ORDER BY,Easy
878,Write a SQL query to retrieve all records from courses sorted by credits in descending order.,SELECT * FROM courses ORDER BY credits DESC,ORDER BY,Medium
879,Write a SQL query to select all records from sales where sale_date < 76.,SELECT * FROM sales WHERE sale_date<76,WHERE,Medium
880,Write a SQL query to retrieve all records from employees sorted by hire_date in descending order.,SELECT * FROM employees ORDER BY hire_date DESC,ORDER BY,Medium
881,Write a SQL query to select all records from courses where instructor < 42.,SELECT * FROM courses WHERE instructor<42,WHERE,Medium
882,Write a SQL query to retrieve all records from products sorted by price in descending order.,SELECT * FROM products ORDER BY price DESC,ORDER BY,Medium
883,Write a SQL query to select all records from orders where customer_id <= 50.,SELECT * FROM orders WHERE customer_id<=50,WHERE,Hard
884,Write a SQL query to select all records from products where price <= 62.,SELECT * FROM products WHERE price<=62,WHERE,Hard
885,Write a SQL query to retrieve all records from the orders table.,SELECT * FROM orders,SELECT,Easy
886,Write a SQL query to perform a RIGHT JOIN between students and courses on the course_id column.,SELECT * FROM students RIGHT JOIN courses ON students.course_id=courses.course_id,JOIN,Hard
887,Write a SQL query to retrieve all records from the orders table.,SELECT * FROM orders,SELECT,Easy
888,Write a SQL query to calculate the average of age in the students table.,SELECT AVG(age) FROM students,AGGREGATE FUNCTIONS,Medium
889,Write a SQL query to perform a RIGHT JOIN between employees and departments on the dept_id column.,SELECT * FROM employees RIGHT JOIN departments ON employees.dept_id=departments.dept_id,JOIN,Hard
890,Write a SQL query to find the sum for each name in the students table.,"SELECT name,SUM(student_id) FROM students GROUP BY name",GROUP BY,Medium
891,Write a SQL query to calculate the total sum of stock in the products table.,SELECT SUM(stock) FROM products,AGGREGATE FUNCTIONS,Medium
892,Write a SQL query to calculate the total sum of customer_id in the customers table.,SELECT SUM(customer_id) FROM customers,AGGREGATE FUNCTIONS,Medium
893,Write a SQL query to calculate the total sum of airline in the flights table.,SELECT SUM(airline) FROM flights,AGGREGATE FUNCTIONS,Medium
894,Write a SQL query to find the avg for each department in the employees table.,"SELECT department,AVG(hire_date) FROM employees GROUP BY department",GROUP BY,Medium
895,Write a SQL query to find the count for each manager in the departments table.,"SELECT manager,COUNT(*) FROM departments GROUP BY manager",GROUP BY,Easy
896,Write a SQL query to calculate the average of location in the departments table.,SELECT AVG(location) FROM departments,AGGREGATE FUNCTIONS,Medium
897,Write a SQL query to perform a LEFT JOIN between orders and customers on the customer_id column.,SELECT * FROM orders LEFT JOIN customers ON orders.customer_id=customers.customer_id,JOIN,Hard
898,Write a SQL query to retrieve all records from employees sorted by salary in descending order.,SELECT * FROM employees ORDER BY salary DESC,ORDER BY,Medium
899,Write a SQL query to perform a LEFT JOIN between sales and products on the product_id column.,SELECT * FROM sales LEFT JOIN products ON sales.product_id=products.product_id,JOIN,Hard
900,Write a SQL query to find the min for each dept_name in the departments table.,"SELECT dept_name,MIN(budget) FROM departments GROUP BY dept_name",GROUP BY,Medium
901,Write a SQL query to perform a INNER JOIN between orders and customers on the customer_id column.,SELECT * FROM orders INNER JOIN customers ON orders.customer_id=customers.customer_id,JOIN,Medium
902,Write a SQL query to perform a RIGHT JOIN between sales and products on the product_id column.,SELECT * FROM sales RIGHT JOIN products ON sales.product_id=products.product_id,JOIN,Hard
903,Write a SQL query to perform a INNER JOIN between students and courses on the course_id column.,SELECT * FROM students INNER JOIN courses ON students.course_id=courses.course_id,JOIN,Medium
904,Write a SQL query to select all records from flights where price = 98.,SELECT * FROM flights WHERE price=98,WHERE,Easy
905,Write a SQL query to perform a LEFT JOIN between orders and customers on the customer_id column.,SELECT * FROM orders LEFT JOIN customers ON orders.customer_id=customers.customer_id,JOIN,Hard
906,Write a SQL query to perform a LEFT JOIN between employees and departments on the dept_id column.,SELECT * FROM employees LEFT JOIN departments ON employees.dept_id=departments.dept_id,JOIN,Hard
907,Write a SQL query to find the minimum value of flight_id in the flights table.,SELECT MIN(flight_id) FROM flights,AGGREGATE FUNCTIONS,Easy
908,Write a SQL query to find the minimum value of department in the courses table.,SELECT MIN(department) FROM courses,AGGREGATE FUNCTIONS,Easy
909,Write a SQL query to find the sum for each stock in the products table.,"SELECT stock,SUM(category) FROM products GROUP BY stock",GROUP BY,Medium
910,Write a SQL query to find the count for each airline in the flights table.,"SELECT airline,COUNT(*) FROM flights GROUP BY airline",GROUP BY,Easy
911,Write a SQL query to calculate the total sum of emp_id in the employees table.,SELECT SUM(emp_id) FROM employees,AGGREGATE FUNCTIONS,Medium
912,Write a SQL query to retrieve all records from orders sorted by order_id in descending order.,SELECT * FROM orders ORDER BY order_id DESC,ORDER BY,Medium
913,Write a SQL query to retrieve all records from customers sorted by last_name in descending order.,SELECT * FROM customers ORDER BY last_name DESC,ORDER BY,Medium
914,Write a SQL query to select all records from courses where department != 51.,SELECT * FROM courses WHERE department!=51,WHERE,Hard
915,Write a SQL query to calculate the total sum of manager in the departments table.,SELECT SUM(manager) FROM departments,AGGREGATE FUNCTIONS,Medium
916,Write a SQL query to select all records from departments where manager <= 33.,SELECT * FROM departments WHERE manager<=33,WHERE,Hard
917,Write a SQL query to find the avg for each price in the flights table.,"SELECT price,AVG(destination) FROM flights GROUP BY price",GROUP BY,Medium
918,Write a SQL query to retrieve all records from the sales table.,SELECT * FROM sales,SELECT,Easy
919,Write a SQL query to perform a INNER JOIN between employees and departments on the dept_id column.,SELECT * FROM employees INNER JOIN departments ON employees.dept_id=departments.dept_id,JOIN,Medium
920,Write a SQL query to retrieve all records from orders sorted by total_amount in descending order.,SELECT * FROM orders ORDER BY total_amount DESC,ORDER BY,Medium
921,Write a SQL query to retrieve all records from students sorted by name in ascending order.,SELECT * FROM students ORDER BY name ASC,ORDER BY,Easy
922,Write a SQL query to find the sum for each emp_name in the employees table.,"SELECT emp_name,SUM(hire_date) FROM employees GROUP BY emp_name",GROUP BY,Medium
923,Write a SQL query to retrieve all records from orders sorted by total_amount in ascending order.,SELECT * FROM orders ORDER BY total_amount ASC,ORDER BY,Easy
924,Write a SQL query to select distinct values of name and course from students.,"SELECT DISTINCT name,course FROM students",SELECT,Hard
925,Write a SQL query to retrieve all records from departments sorted by dept_name in descending order.,SELECT * FROM departments ORDER BY dept_name DESC,ORDER BY,Medium
926,Write a SQL query to perform a INNER JOIN between employees and departments on the dept_id column.,SELECT * FROM employees INNER JOIN departments ON employees.dept_id=departments.dept_id,JOIN,Medium
927,Write a SQL query to find the max for each origin in the flights table.,"SELECT origin,MAX(price) FROM flights GROUP BY origin",GROUP BY,Medium
928,Write a SQL query to calculate the total sum of emp_id in the employees table.,SELECT SUM(emp_id) FROM employees,AGGREGATE FUNCTIONS,Medium
929,Write a SQL query to select the price and destination columns from the flights table.,"SELECT price,destination FROM flights",SELECT,Medium
930,Write a SQL query to select all records from employees where salary < 86.,SELECT * FROM employees WHERE salary<86,WHERE,Medium
931,Write a SQL query to select the course and student_id columns from the students table.,"SELECT course,student_id FROM students",SELECT,Medium
932,Write a SQL query to select all records from orders where total_amount >= 14.,SELECT * FROM orders WHERE total_amount>=14,WHERE,Hard
933,Write a SQL query to select all records from students where course < 90.,SELECT * FROM students WHERE course<90,WHERE,Medium
934,Write a SQL query to find the minimum value of department in the employees table.,SELECT MIN(department) FROM employees,AGGREGATE FUNCTIONS,Easy
